fiscal_period_end,total_equity,total_debt,cash_and_equivalents,revenue,gross_profit,operating_income,ebit,net_income,shares_outstanding,revenue_ttm,gross_profit_ttm,operating_income_ttm,ebit_ttm,net_income_ttm,ticker
2009-01-31,2036000000.0,,339000000.0,1235000000.0,,36000000.0,36000000.0,33000000.0,322000000.0,,,,,,INTU
2009-04-30,2600000000.0,,1222000000.0,2652000000.0,,801000000.0,801000000.0,518000000.0,322000000.0,7361000000.0,,1405000000.0,1405000000.0,976000000.0,INTU
2009-07-31,2557000000.0,,679000000.0,3109000000.0,,683000000.0,683000000.0,447000000.0,322766000.0,7477000000.0,,1444000000.0,1444000000.0,946000000.0,INTU
2009-10-31,2272000000.0,,313000000.0,493000000.0,,-99000000.0,-99000000.0,-68000000.0,320000000.0,7489000000.0,,1421000000.0,1421000000.0,930000000.0,INTU
2010-01-31,2256000000.0,,337000000.0,1311000000.0,,39000000.0,39000000.0,46000000.0,317000000.0,7565000000.0,,1424000000.0,1424000000.0,943000000.0,INTU
2010-04-30,2858000000.0,,430000000.0,2918000000.0,,927000000.0,927000000.0,622000000.0,316000000.0,7831000000.0,,1550000000.0,1550000000.0,1047000000.0,INTU
2010-07-31,2821000000.0,998000000.0,214000000.0,-3425000000.0,,-618000000.0,-618000000.0,-454000000.0,313861000.0,1297000000.0,,249000000.0,249000000.0,146000000.0,INTU
2010-10-31,2615000000.0,,112000000.0,532000000.0,,-104000000.0,-104000000.0,-70000000.0,316000000.0,1336000000.0,,244000000.0,244000000.0,144000000.0,INTU
2011-01-31,2272000000.0,,433000000.0,1410000000.0,,7000000.0,7000000.0,3000000.0,312000000.0,1435000000.0,,212000000.0,212000000.0,101000000.0,INTU
2011-04-30,2821000000.0,500000000.0,1369000000.0,3258000000.0,,1068000000.0,1068000000.0,691000000.0,309000000.0,1775000000.0,,353000000.0,353000000.0,170000000.0,INTU
2011-07-31,2616000000.0,999000000.0,722000000.0,-1349000000.0,,36000000.0,36000000.0,10000000.0,300597000.0,3851000000.0,,1007000000.0,1007000000.0,634000000.0,INTU
2011-10-31,2361000000.0,,333000000.0,594000000.0,,-94000000.0,-94000000.0,-64000000.0,300000000.0,3913000000.0,,1017000000.0,1017000000.0,640000000.0,INTU
2012-01-31,2223000000.0,,277000000.0,1613000000.0,,98000000.0,98000000.0,54000000.0,298000000.0,4116000000.0,,1108000000.0,1108000000.0,691000000.0,INTU
2012-04-30,2835000000.0,,859000000.0,3558000000.0,,1205000000.0,1205000000.0,788000000.0,297000000.0,4416000000.0,,1245000000.0,1245000000.0,788000000.0,INTU
